Elemento;Tipo ;Diámetro;Cantidad ;Longitud de barra (m);Peso de acero;Peso total (kg)
Columna; C-1 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
Columna; C-1 ;" 3/8"" ";8;1.31; 0.56 kg/m ;5.860747
Columna; C-1 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-1 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-1 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
Columna; C-1 ;" 3/8"" ";8;1.31; 0.56 kg/m ;5.860747
Columna; C-1 ;" 3/8"" ";3;1.53; 0.56 kg/m ;2.56831
Columna; C-1 ;" 3/8"" ";3;1.31; 0.56 kg/m ;2.19778
Columna; C-1 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-1 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-1 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-1 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-1 ;" 3/8"" ";10;1.53; 0.56 kg/m ;8.561032
Columna; C-1 ;" 3/8"" ";10;1.31; 0.56 kg/m ;7.325934
Columna; C-1 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-1 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-1 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
Columna; C-1 ;" 3/8"" ";8;1.31; 0.56 kg/m ;5.860747
Columna; C-1 ;" 3/8"" ";5;1.53; 0.56 kg/m ;4.280516
Columna; C-1 ;" 3/8"" ";5;1.31; 0.56 kg/m ;3.662967
Columna; C-1 ;" 3/8"" ";3;1.53; 0.56 kg/m ;2.56831
Columna; C-1 ;" 3/8"" ";3;1.31; 0.56 kg/m ;2.19778
Columna; C-1 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
Columna; C-1 ;" 3/8"" ";8;1.31; 0.56 kg/m ;5.860747
Columna; C-1 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
Columna; C-1 ;" 3/8"" ";8;1.31; 0.56 kg/m ;5.860747
Columna; C-1 ;" 3/8"" ";6;1.53; 0.56 kg/m ;5.136619
Columna; C-1 ;" 3/8"" ";6;1.31; 0.56 kg/m ;4.39556
Columna; C-1 ;" 3/8"" ";6;1.53; 0.56 kg/m ;5.136619
Columna; C-1 ;" 3/8"" ";6;1.31; 0.56 kg/m ;4.39556
Columna; C-1 ;" 3/4"" ";1;5.77; 2.24 kg/m ;12.888509
Columna; C-1 ;" 3/4"" ";1;5.77; 2.24 kg/m ;12.8889
Columna; C-1 ;" 3/4"" ";1;6.28; 2.24 kg/m ;14.026947
Columna; C-1 ;" 3/4"" ";1;6.29; 2.24 kg/m ;14.048859
Columna; C-1 ;" 3/4"" ";1;7.25; 2.24 kg/m ;16.207215
Columna; C-1 ;" 3/4"" ";1;7.23; 2.24 kg/m ;16.16797
Columna; C-1 ;" 3/4"" ";1;8.69; 2.24 kg/m ;19.429127
Columna; C-1 ;" 3/4"" ";1;8.69; 2.24 kg/m ;19.422977
Columna; C-1 ;" 3/4"" ";1;2.85; 2.24 kg/m ;6.362453
Columna; C-1 ;" 3/4"" ";1;2.85; 2.24 kg/m ;6.368218
Columna; C-1 ;" 3/4"" ";1;7.73; 2.24 kg/m ;17.282162
Columna; C-1 ;" 3/4"" ";1;7.74; 2.24 kg/m ;17.289743
Columna; C-1 ;" 1"" ";1;5.85; 3.40 kg/m ;19.86523
Columna; C-1 ;" 1"" ";1;5.84; 3.40 kg/m ;19.834719
Columna; C-1 ;" 1"" ";1;6.38; 3.40 kg/m ;21.688126
Columna; C-1 ;" 1"" ";1;6.39; 3.40 kg/m ;21.700049
Columna; C-1 ;" 1"" ";1;8.04; 3.40 kg/m ;27.318078
Columna; C-1 ;" 1"" ";1;8.02; 3.40 kg/m ;27.256392
Columna; C-1 ;" 1"" ";1;6.38; 3.40 kg/m ;21.662428
Columna; C-1 ;" 1"" ";1;6.37; 3.40 kg/m ;21.648944
Columna; C-1 ;" 1"" ";1;5.85; 3.40 kg/m ;19.878571
Columna; C-1 ;" 1"" ";1;5.85; 3.40 kg/m ;19.875835
Columna; C-1 ;" 1"" ";1;8.03; 3.40 kg/m ;27.286684
Columna; C-1 ;" 1"" ";1;8.04; 3.40 kg/m ;27.295143
Columna; C-1 ;" 1"" ";1;9.19; 3.40 kg/m ;31.218286
Columna; C-1 ;" 1"" ";1;9.19; 3.40 kg/m ;31.221501
Columna; C-1 ;" 1"" ";1;3.33; 3.40 kg/m ;11.313217
Columna; C-1 ;" 1"" ";1;3.33; 3.40 kg/m ;11.325103
Columna; C-1 ;" 1"" ";1;7.75; 3.40 kg/m ;26.343267
Columna; C-1 ;" 1"" ";1;7.76; 3.40 kg/m ;26.369823
Columna; C-1 ;" 1"" ";1;9.18; 3.40 kg/m ;31.190066
Columna; C-1 ;" 1"" ";1;9.18; 3.40 kg/m ;31.182981
Columna; C-1 ;" 1"" ";1;3.33; 3.40 kg/m ;11.319838
Columna; C-1 ;" 1"" ";1;3.33; 3.40 kg/m ;11.325397
Columna; C-1 ;" 1"" ";1;7.75; 3.40 kg/m ;26.329386
Columna; C-1 ;" 1"" ";1;7.74; 3.40 kg/m ;26.288499
Columna; C-1 ;" 1"" ";1;3.33; 3.40 kg/m ;11.316513
Columna; C-1 ;" 1"" ";1;9.19; 3.40 kg/m ;31.202364
Columna; C-1 ;" 1"" ";1;7.77; 3.40 kg/m ;26.379517
Columna; C-1 ;" 1"" ";1;9.19; 3.40 kg/m ;31.213813
Columna; C-1 ;" 1"" ";1;3.34; 3.40 kg/m ;11.340276
Columna; C-1 ;" 1"" ";1;7.74; 3.40 kg/m ;26.30932
Columna; C-1: 108 ;;342;;;1,100.49
Columna; C-2 ;;;;;
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";7;1.54; 0.56 kg/m ;6.021433
Columna; C-2 ;" 3/8"" ";7;1.54; 0.56 kg/m ;6.021433
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";7;1.58; 0.56 kg/m ;6.179816
Columna; C-2 ;" 3/8"" ";7;1.58; 0.56 kg/m ;6.179816
Columna; C-2 ;" 3/8"" ";5;1.53; 0.56 kg/m ;4.280516
Columna; C-2 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-2 ;" 3/8"" ";5;1.31; 0.56 kg/m ;3.662967
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648492
Columna; C-2 ;" 3/8"" ";3;1.49; 0.56 kg/m ;2.49818
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648355
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648492
Columna; C-2 ;" 3/8"" ";3;1.54; 0.56 kg/m ;2.580614
Columna; C-2 ;" 3/8"" ";3;1.54; 0.56 kg/m ;2.580614
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648492
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648492
Columna; C-2 ;" 3/8"" ";3;1.49; 0.56 kg/m ;2.49818
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648355
Columna; C-2 ;" 3/8"" ";3;1.53; 0.56 kg/m ;2.56831
Columna; C-2 ;" 3/8"" ";3;1.57; 0.56 kg/m ;2.632546
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";4;1.54; 0.56 kg/m ;3.440819
Columna; C-2 ;" 3/8"" ";4;1.54; 0.56 kg/m ;3.440819
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";4;1.54; 0.56 kg/m ;3.440819
Columna; C-2 ;" 3/8"" ";4;1.54; 0.56 kg/m ;3.440819
Columna; C-2 ;" 3/8"" ";3;1.54; 0.56 kg/m ;2.580614
Columna; C-2 ;" 3/8"" ";3;1.54; 0.56 kg/m ;2.580614
Columna; C-2 ;" 3/8"" ";3;1.54; 0.56 kg/m ;2.580614
Columna; C-2 ;" 3/8"" ";3;1.54; 0.56 kg/m ;2.580614
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";4;1.54; 0.56 kg/m ;3.440819
Columna; C-2 ;" 3/8"" ";4;1.54; 0.56 kg/m ;3.440819
Columna; C-2 ;" 3/8"" ";3;1.54; 0.56 kg/m ;2.580614
Columna; C-2 ;" 3/8"" ";3;1.54; 0.56 kg/m ;2.580614
Columna; C-2 ;" 3/8"" ";3;1.54; 0.56 kg/m ;2.580614
Columna; C-2 ;" 3/8"" ";3;1.54; 0.56 kg/m ;2.580614
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";1;1.54; 0.56 kg/m ;0.860205
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";8;1.54; 0.56 kg/m ;6.881638
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648492
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648492
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648492
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648492
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";4;1.58; 0.56 kg/m ;3.531323
Columna; C-2 ;" 3/8"" ";4;1.58; 0.56 kg/m ;3.531323
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648492
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648492
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882831
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.062646
Columna; C-2 ;" 3/8"" ";15;1.58; 0.56 kg/m ;13.242462
Columna; C-2 ;" 3/8"" ";15;1.58; 0.56 kg/m ;13.242462
Columna; C-2 ;" 3/8"" ";8;1.49; 0.56 kg/m ;6.661815
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.06228
Columna; C-2 ;" 3/8"" ";1;1.49; 0.56 kg/m ;0.832727
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882785
Columna; C-2 ;" 3/8"" ";8;1.49; 0.56 kg/m ;6.661815
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.06228
Columna; C-2 ;" 3/8"" ";1;1.49; 0.56 kg/m ;0.832727
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882785
Columna; C-2 ;" 3/8"" ";8;1.49; 0.56 kg/m ;6.661815
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.06228
Columna; C-2 ;" 3/8"" ";1;1.49; 0.56 kg/m ;0.832727
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882785
Columna; C-2 ;" 3/8"" ";3;1.49; 0.56 kg/m ;2.49818
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648355
Columna; C-2 ;" 3/8"" ";8;1.49; 0.56 kg/m ;6.661815
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.06228
Columna; C-2 ;" 3/8"" ";1;1.49; 0.56 kg/m ;0.832727
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882785
Columna; C-2 ;" 3/8"" ";8;1.49; 0.56 kg/m ;6.661815
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.06228
Columna; C-2 ;" 3/8"" ";1;1.49; 0.56 kg/m ;0.832727
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882785
Columna; C-2 ;" 3/8"" ";8;1.49; 0.56 kg/m ;6.661815
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.06228
Columna; C-2 ;" 3/8"" ";1;1.49; 0.56 kg/m ;0.832727
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882785
Columna; C-2 ;" 3/8"" ";15;1.49; 0.56 kg/m ;12.490902
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882785
Columna; C-2 ;" 3/8"" ";15;1.58; 0.56 kg/m ;13.241775
Columna; C-2 ;" 3/8"" ";3;1.49; 0.56 kg/m ;2.49818
Columna; C-2 ;" 3/8"" ";3;1.58; 0.56 kg/m ;2.648355
Columna; C-2 ;" 3/8"" ";15;1.49; 0.56 kg/m ;12.490902
Columna; C-2 ;" 3/8"" ";15;1.58; 0.56 kg/m ;13.241775
Columna; C-2 ;" 3/8"" ";8;1.49; 0.56 kg/m ;6.661815
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.06228
Columna; C-2 ;" 3/8"" ";1;1.49; 0.56 kg/m ;0.832727
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882785
Columna; C-2 ;" 3/8"" ";8;1.49; 0.56 kg/m ;6.661815
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.06228
Columna; C-2 ;" 3/8"" ";1;1.49; 0.56 kg/m ;0.832727
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882785
Columna; C-2 ;" 3/8"" ";8;1.49; 0.56 kg/m ;6.661815
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.06228
Columna; C-2 ;" 3/8"" ";1;1.49; 0.56 kg/m ;0.832727
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882785
Columna; C-2 ;" 3/8"" ";8;1.49; 0.56 kg/m ;6.661815
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.06228
Columna; C-2 ;" 3/8"" ";1;1.49; 0.56 kg/m ;0.832727
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882785
Columna; C-2 ;" 3/8"" ";8;1.49; 0.56 kg/m ;6.661815
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.06228
Columna; C-2 ;" 3/8"" ";1;1.49; 0.56 kg/m ;0.832727
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882785
Columna; C-2 ;" 3/8"" ";8;1.49; 0.56 kg/m ;6.661815
Columna; C-2 ;" 3/8"" ";8;1.58; 0.56 kg/m ;7.06228
Columna; C-2 ;" 3/8"" ";1;1.49; 0.56 kg/m ;0.832727
Columna; C-2 ;" 3/8"" ";1;1.58; 0.56 kg/m ;0.882785
Columna; C-2 ;" 3/8"" ";9;1.49; 0.56 kg/m ;7.494541
Columna; C-2 ;" 3/8"" ";11;1.58; 0.56 kg/m ;9.710635
Columna; C-2 ;" 3/8"" ";11;1.49; 0.56 kg/m ;9.159995
Columna; C-2 ;" 3/8"" ";11;1.58; 0.56 kg/m ;9.710635
Columna; C-2 ;" 3/8"" ";3;1.53; 0.56 kg/m ;2.56831
Columna; C-2 ;" 3/8"" ";3;1.57; 0.56 kg/m ;2.632546
Columna; C-2 ;" 3/8"" ";3;1.53; 0.56 kg/m ;2.56831
Columna; C-2 ;" 3/8"" ";3;1.57; 0.56 kg/m ;2.632546
Columna; C-2 ;" 3/8"" ";7;1.53; 0.56 kg/m ;5.992722
Columna; C-2 ;" 3/8"" ";7;1.57; 0.56 kg/m ;6.142607
Columna; C-2 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-2 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-2 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
Columna; C-2 ;" 3/8"" ";8;1.31; 0.56 kg/m ;5.860747
Columna; C-2 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-2 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-2 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
